,m/z,theoretical_mz,ppm,precursor_type,name,formula,exact_mass,cas,biocyc,chebi,chembl,drugbank,hmdb,kegg,knapsack,lipidbank,lipidmaps,metabolights,pubchem,wikipedia
MSI03067,298.0134,298.0122,4,[M]+,"4-(6-Chloro-2,4-Dioxo-1,2,3,4-Tetrahydropyrimidin-5-Yl) Butyl Phosphate",C8H12ClN2O6P,298.0121508,,,,,DB08016,,,,,,,11987823,
MSI03069,299.0074,299.0051,8,[M]+,"2-(Dichloromethyl)-4-(4-methylphenyl)-6-(methylthio)-1,3,5-triazine",C12H11Cl2N3S,299.0050739,,,CHEBI:95051,,,,,,,,,3380841,
MSI03070,299.0208,299.0201,2,[M]+,Azathioprine sodium,C9H6N7NaO2S,299.02013792,55774-33-9,,,,,,,,,,,11529527,
MSI03071,299.0885,299.0860,10,[M+Na]+,C20912,C10H16N2O7,276.0958,,,,,,,C20912,,,,,,
MSI03076,299.8121,299.8152,10,[M+H-2H2O]+,"Thiophene, 3,5-dibromo-2,3-dihydro-4-methyl-3-nitro-, 1,1-dioxide",C5H5Br2NO4S,334.82855,515114-49-5,,,,,,,,,,,12008699,
MSI03077,300.2362,300.2361,0,[M+H-2H2O]+,"N-Dodecyl-N,N-dimethyl-3-ammonio-1-propanesulfonate",C17H37NO3S,335.24941522,14933-08-5; 68201-55-8,,CHEBI:75303,,,,,,,,,84703,
MSI03079,302.2802,302.2808,2,[M+NH4]+,N-(2-Amino-2-oxoethyl)tetradecanamide,C16H32N2O2,284.246378268,,,CHEBI:189376,,,,,,,,,469034,
MSI03081,303.0472,303.0470,1,[M]+,"4-[(S)-hydroxy-[(2R)-piperidin-2-yl]methyl]benzene-1,2-diol;hydrobromide",C12H18BrNO3,303.04701,31842-61-2,,,,,,,,,,,71409,
MSI03082,303.2297,303.2300,1,[M+Na]+,Linoleic acid,C18H32O2,280.240230259,60-33-3; 6144-28-1; 1509-85-9; 2197-37-7; 8016-21-5; 80969-37-5; 8024-22-4,,CHEBI:137735,,DB14104,HMDB0000673,C01595,,,LMFA01030120,,5280450,Linoleic acid
MSI03087,304.2274,304.2277,1,[M-H2O+NH4]+,6beta-Hydroxytestosterone,C19H28O3,304.20384475,62-99-7,,CHEBI:34477,,,HMDB0006259,,,,LMST02020054,,65543,
MSI03091,304.8370,304.8401,10,[M+Na]+,Lutetium chloride Lu-177,Cl3Lu,281.85032,16434-14-3,,,,,,,,,,,71587001,
MSI03092,305.1122,305.1124,1,[M]+,CID 33508055,C13H15N5O4,305.11240398,,,,,,,,,,,,33508055,
MSI03099,306.1258,306.1256,1,[M]+,(-)-Isolonchocarpin,C20H18O3,306.125594432,,,,,,,,,,LMPK12140015,,12311091,
MSI03104,307.7544,307.7506,12,[M]+,"2,3,3-Tribromopropenoic acid",C3HBr3O2,307.75062,71815-46-8,,,,,,,,,LMFA01090077,,14227575,
MSI03105,307.8841,307.8833,3,[M+Na]+,Pyrazine-2-carboxamide;dihydrobromide,C5H7Br2N3O,284.89354,,,,,,,,,,,,162315599,
MSI03106,307.9133,307.9143,3,[M]+,"4-Hydroxy-2,2',4',6'-tetrachlorobiphenyl",C12H6Cl4O,307.914325,150304-08-8,,CHEBI:34417,,,,,,,,,153963,
MSI03107,308.0394,308.0410,5,[M]+,dUMP,C9H13N2O8P,308.041,,,,,,,C00365,,,,,,
MSI03109,309.1428,309.1470,13,[M+Na]+,16alpha-Hydroxyestrone,C18H22O3,286.1569,,,,,,,C05300,,,,,,
MSI03110,309.1796,309.1830,11,[M+Na]+,Androstenedione,C19H26O2,286.1933,,,,,,,C00280,,,,,,
MSI03111,309.2086,309.2040,14,[M+Na]+,Hexadecanedioate,C16H30O4,286.2144,,,,,,,C19615,,,,,,
MSI03115,309.9360,309.9360,0,[M+H-2H2O]+,4-bromo-N-methyl-N-[(thiophen-3-yl)methyl]benzene-1-sulfonamide,C12H12BrNO2S2,344.94928,949635-80-7,,,,,,,,,,,9190846,
MSI03116,310.1036,310.1053,5,[M]+,(E)-1-O-Cinnamoyl-beta-D-glucose,C15H18O7,310.10525291,40004-96-4,,CHEBI:167947,,,HMDB0030293,,,,,,5797730,
MSI03117,310.3835,310.3838,1,[M-H2O+NH4]+,5-Methylheneicosane,C22H46,310.359951467,25117-37-7,,,,,,,,,LMFA11000457,,520184,
MSI03118,311.0729,311.0770,12,[M+H-H2O]+,2-Succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate,C14H16O9,328.0794,,,,,,,C16519,,,,,,
MSI03119,311.1100,311.1092,2,[M]+,"4-(4-Phenoxy-1-piperidinyl)thieno[2,3-d]pyrimidine",C17H17N3OS,311.10923335,,,CHEBI:93047,,,,,,,,,44224142,
MSI03121,312.1297,312.1296,0,[M]+,(3-Hydroxyphenyl)-[4-(phenylmethyl)-1-piperazinyl]methanethione,C18H20N2OS,312.12963444,,,CHEBI:123347,,,,,,,,,2204910,
MSI03122,312.1624,312.1600,8,[M+H-H2O]+,(R)-Reticuline,C19H23NO4,329.1627,,,,,,,C05178,,,,,,
MSI03123,312.1960,312.1968,3,[M]+,Etidocaine hydrochloride,C17H29ClN2O,312.1968412,36637-19-1; 38188-13-5; 38188-14-6,,CHEBI:4905,,,,,,,,,9796823,
MSI03126,312.8813,312.8772,13,[M+NH4]+,"2,6-Dibromo-4-carboxyphenolate",C7H3Br2O3-,294.84284,,,CHEBI:27544,,,,,,,,,54675864,
MSI03127,313.0314,313.0314,0,[M]+,2-(4-Bromo-3-methylphenoxy)-1-(morpholin-4-yl)ethanone,C13H16BrNO3,313.03136,,,,,,,,,,,,814398,
MSI03128,313.2738,313.2743,2,[M+H]+,10-Oxo-nonadecanoic acid,C19H36O3,312.26644501,,,CHEBI:138422,,,,,,,LMFA01060128,,5312916,
MSI03130,313.8476,313.8463,4,[M+NH4]+,Chloromethanesulfonyl-dichloromethanesulfonyl chloride,C2H2Cl4O4S2,295.811912,,,CHEBI:189246,,,,,,,,,576100,
MSI03131,314.9383,314.9418,11,[M+H]+,"9,9-Dibromo-8-nonenoic acid",C9H14Br2O2,313.93401,,,,,,,,,,LMFA01090117,,13846151,
MSI03134,315.8268,315.8222,15,[M]+,Calcium bis(methylarsonate),C2H6As2CaO6-2,315.82222,5902-95-4,,,,,,,,,,,22193,
MSI03135,316.1927,316.1918,3,[M]+,Tromantadine hydrochloride,C16H29ClN2O2,316.1917559,41544-24-5,,,,,,,,,,,170532,
MSI03139,317.1124,317.1124,0,[M+H]+,1-(4-Acetylphenyl)-3-[2-(4-fluorophenyl)ethyl]thiourea,C17H17FN2OS,316.10456251,,,CHEBI:122160,,,,,,,,,972437,
MSI03140,317.3057,317.3056,0,[M+H]+,"1,2,4-Nonadecanetriol",C19H40O3,316.29774513,,,CHEBI:169806,,,HMDB0032112,,,,LMFA05000577,,10567452,
MSI03145,319.1453,319.1451,1,[M]+,1-Butyl-3-(4-chlorophenyl)-1-[(1-methylpyrrol-2-yl)methyl]urea,C17H22ClN3O,319.14514,,,,,,,,,,,,3930501,
MSI03146,319.2973,319.2977,1,[M+Na]+,11-Eicosenol,C20H40O,296.307915895,62442-62-0,,CHEBI:178681,,,HMDB0034933,,,,LMFA05000219,,9900830,
MSI03147,319.7700,319.7700,0,[M+H]+,"Sulfuric acid, zinc salt (1:1), mixt. with sulfuric acid copper(2+) salt (1:1)",CuO8S2Zn,318.762198,39377-44-1,,,,,,,,,,,56842988,
MSI03149,319.9395,319.9396,0,[M+Na]+,CID 13296891,C7H8INO4,296.94981,,,,,,,,,,,,13296891,
MSI03150,319.9620,319.9661,13,[M]+,"4,5-Dihydroxynaphthalene-2,7-disulfonic acid",C10H8O8S2,319.96605956,148-25-4,,CHEBI:1751,,,,,,,,,67221,Chromotropic_acid
MSI03151,320.0973,320.0920,18,[M+H-H2O]+,S-(Hydroxymethyl)glutathione,C11H19N3O7S,337.0944,,,,,,,C14180,,,,,,
MSI03152,320.1772,320.1776,1,[M]+,"7,10,13,16,19-Docosapentaynoic acid",C22H24O2,320.177630004,,,CHEBI:187549,,,,,,,LMFA01030679,,9543594,
MSI03153,320.2492,320.2515,7,[M]+,3beta-Fluoro-5beta-pregnan-20-one,C21H33FO,320.25154383,6943-62-0,,CHEBI:79505,,,,,,,,,244125,
MSI03154,320.7274,320.7316,13,[M]+,Dibromocopper;sulfuric acid,Br2CuH2O4S,320.7316,,,,,,,,,,,,160514595,
MSI03155,321.1160,321.1162,0,[M+Na]+,3-O-(alpha-L-rhamnopyranosyl)-D-ribitol,C11H22O9,298.12638228,,,CHEBI:61090,,,,,,,,,50909884,
MSI03159,321.9865,321.9868,1,[M+H-2H2O]+,3-bromo-N-(4-methyl-2-oxo-1-benzopyran-7-yl)benzamide,C17H12BrNO3,357.00006,,,CHEBI:116778,,,,,,,,,2675737,
MSI03160,322.3157,322.3130,8,[M+K]+,N-dodecanoyl-L-Homoserine lactone,C16H29NO3,283.21474379,137173-46-7,,,,,,,,,LMFA08030014,,10221437,
MSI03161,322.3477,322.3474,1,[M+NH4]+,"3Z,6Z,9Z-Docosatriene",C22H40,304.313001276,,,,,,,,,,LMFA11000162,,56936131,
MSI03163,323.2066,323.2010,17,[M+H-2H2O]+,Delta9-Tetrahydrocannabinolate,C22H30O4,358.2144,,,,,,,C21903,,,,,,
MSI03165,324.1939,324.1937,1,[M]+,Dinor-PGD2,C18H28O5,324.19367399,,,CHEBI:165329,,,,,,,LMFA03010214,,52921879,
MSI03167,325.0732,325.0710,6,[M+H-2H2O]+,Versiconol,C18H16O8,360.0845,,,,,,,C20508,,,,,,
MSI03168,325.2751,325.2743,3,[M]+,2-Oxophytanate,C20H37O3-,325.27427004,,,CHEBI:58400,,,,,,,,,45259182,
MSI03169,325.9093,325.9115,7,[M+H-2H2O]+,"1,2,4-Benzotriazin-3(2H)-one, 5,7-dibromo-2-(1,1-dimethylethyl)-",C11H11Br2N3O,360.92484,832077-17-5,,,,,,,,,,,11199218,
MSI03170,326.2308,326.2307,0,[M+NH4]+,"14,14,14-Trifluoro-11E-tetradecenyl acetate",C16H27F3O2,308.19631459,,,CHEBI:137727,,,,,,,LMFA07010327,,44256546,
MSI03171,326.3627,326.3607,6,[M-H2O+NH4]+,Trimethyl(octadecyl)silane,C21H46Si,326.336878002,,,CHEBI:137538,,,,,,,,,552292,
MSI03173,326.6601,326.6645,14,[M+H-H2O]+,Heptacalcium;ZINC,Ca7Zn+16,343.667278,,,,,,,,,,,,72941625,
MSI03175,327.0454,327.0460,2,[M]+,"3-Methyl-7-(2-morpholin-4-yl-2-oxoethyl)sulfanyl-[1,3,4]thiadiazolo[2,3-c][1,2,4]triazin-4-one",C11H13N5O3S2,327.04598164,869073-67-6,,,,,,,,,,,7202411,
MSI03176,327.0872,327.0872,0,[M]+,1-(2-Deoxy-5-O-phosphono-beta-D-erythro-pentofuranosyl)-4-methyl-1H-indole,C14H18NO6P,327.08717429,,,,,DB07116,,,,,,,46937051,
MSI03177,327.0972,327.0954,5,[M]+,Acetaminophen glucuronide,C14H17NO8,327.0954165,16110-10-4,,CHEBI:32636,,,HMDB0010316,,,,,,83944,
MSI03183,329.1961,329.1964,1,[M+H]+,Spiculisporic acid,C17H28O6,328.18858861,469-77-2,,CHEBI:167802,,,,,,,,,73448,
MSI03187,330.0103,330.0103,0,[M]+,"Ethyl 3-(5-bromo-2,4-dimethoxyphenyl)-3-oxopropionate",C13H15BrO5,330.01029,,,,,,,,,,,,25023667,
MSI03188,330.1543,330.1542,0,[M+Na]+,"7-(2-Ethoxyethyl)-3-methyl-8-(1-pyrrolidinyl)purine-2,6-dione",C14H21N5O3,307.16443955,,,CHEBI:111214,,,,,,,,,3151055,
MSI03189,330.9524,330.9519,2,[M+Na]+,beta-Chloralose,C8H11Cl3O6,307.962121,16376-36-6,,,,,,,,,,,5284343,
MSI03190,330.9737,330.9734,1,[M+Na]+,3-Bromobenzanthrone,C17H9BrO,307.98368,81-96-9,,,,,,,,,,,6696,
MSI03191,331.3190,331.3197,2,[M+K]+,"2,2-Difluoro-hexadecanoic acid",C16H30F2O2,292.22138652,,,CHEBI:169511,,,,,,,LMFA01090042,,5312960,
MSI03193,332.2875,332.2875,0,[M+K]+,"3-(1-Adamantyl)-4-methyl-5-phenyl-1,2,4-triazole",C19H23N3,293.189197746,,,,,,,,,,,,10193044,
MSI03194,332.3405,332.3439,10,[M+K]+,CID 162338792,C17H34NaO2,293.24564961,,,,,,,,,,,,162338792,
MSI03196,333.2778,333.2769,3,[M+Na]+,cis-11-Eicosenoic acid,C20H38O2,310.287180451,5561-99-9; 2462-94-4; 26764-41-0,,CHEBI:32425,,DB14073,HMDB0002231,,,,LMFA01030085,,5282768,11-Eicosenoic_acid
MSI03201,334.2915,334.2872,13,[M]+,Docosatrienoic Acid,C22H38O2,334.287180451,28845-86-5,,CHEBI:77807,,,HMDB0002823,,,,LMFA01030408,,5312557,
MSI03208,335.7769,335.7725,13,[M+NH4]+,Zinc iodide,ZnI2,317.73809,10139-47-6,,,,DB15961,,,,,,,66278,Zinc iodide
MSI03211,336.7594,336.7616,7,[M+Na]+,"Hypophosphoric acid, tetrapotassium salt",K4O6P2,313.7718377,99690-64-9,,,,,,,,,,,71300779,
MSI03213,336.9653,336.9639,4,[M]+,CID 1399442,C11H11Cl2N2O2S2+,336.9639003,,,,,,,,,,,,1399442,
MSI03214,337.3133,337.3127,2,[M+K]+,8E-Heptadecenedioic acid,C17H30O4,298.21440943,,,CHEBI:165383,,,,,,,LMFA01170053,,9543673,
MSI03216,338.0120,338.0128,2,[M]+,2-chloro-5-[(1S)-1-hydroxy-3-oxo-2H-isoindol-1-yl]benzenesulfonamide,C14H11ClN2O4S,338.0128057,1441368-51-9,,,,DB08046,,,,,,,688424,
MSI03217,338.3617,338.3569,14,[M+K]+,(S)-2-Hydroxystearate,C18H35O3-,299.25861997,,,CHEBI:58386,,,,,,,,,21145041,
MSI03219,338.8477,338.8519,12,[M+H-H2O]+,"2,4,7,8,9-Pentachloro-3-dibenzofuranol",C12H3Cl5O2,355.854618,166892-31-5,,CHEBI:79746,,,,,,,,,11954131,
MSI03220,339.1457,339.1470,4,[M+H]+,(S)-cis-N-Methylstylopine,C20H20NO4,338.1392,,,,,,,C06163,,,,,,
MSI03221,339.4240,339.4195,13,[M+K]+,Methane;octadecylsilane,C19H44Si,300.321227938,,,,,,,,,,,,158645258,
MSI03223,340.2759,340.2771,4,[M+H]+,Benzododecinium chloride,C21H38ClN,339.2692779,139-07-1,,CHEBI:167208,,,,,,,,,8753,Euchlorine
MSI03224,341.2159,341.2120,12,[M+H-H2O]+,Cannabidiolic acid,C22H30O4,358.2144,,,,,,,C10784,,,,,,
MSI03225,341.2669,341.2630,11,[M+H-2H2O]+,9-cis-10'-Apo-beta-carotenal,C27H36O,376.2766,,,,,,,C20692,,,,,,
MSI03226,341.9187,341.9207,6,[M]+,CID 21623631,C10H15Br2OP-2,341.92068,,,,,,,,,,,,21623631,
MSI03227,342.0124,342.0122,0,[M+H]+,"2-(2,6-Dichlorophenyl)-3-(2-furylmethyl)-5-methyl-thiazolidin-4-one",C15H13Cl2NO2S,341.0044052,,,CHEBI:149984,,,,,,,,,25168714,
MSI03228,342.8726,342.8735,3,[M+Na]+,Silver heptafluorobutyrate,C4AgF7O2,319.88374,3794-64-7,,,,,,,,,,,19628,
MSI03231,343.8279,343.8313,10,[M]+,"1,4,5,6,7,7-Hexachlorobicyclo(2.2.1)hept-5-ene-2-carboxylic acid",C8H4Cl6O2,343.831295,115565-70-3,,,,,,,,,,,163968,
MSI03232,344.1125,344.1121,1,[M]+,2-nitro-N'-{[5-(4-morpholinyl)-2-furyl]methylene}benzohydrazide,C16H16N4O5,344.11206962,,,CHEBI:119788,,,,,,,,,9563352,
MSI03233,344.2050,344.2060,3,[M]+,Thr-Pro-Lys,C15H28N4O5,344.20597001,,,CHEBI:164190,,,,,,,,,11902997,
MSI03234,344.2291,344.2284,2,[M+NH4]+,"3,6,9,12,15,18-Hexaoxaicosane-1,20-diol",C14H30O8,326.19406791,5617-32-3,,CHEBI:44748,,DB03394,HMDB0061835,,,,,,79718,
MSI03235,344.3359,344.3338,6,[M+K]+,17beta-Nitro-5alpha-androstane,C19H31NO2,305.235479232,1973-78-0,,CHEBI:79783,,,,,,,,,248417,
MSI03241,345.9485,345.9503,5,[M]+,"5,6-Dibromo-N,N-dimethyltryptamine",C12H14Br2N2,345.95032,72853-80-6,,,,,,,,,,,360251,
MSI03242,346.0488,346.0550,19,[M+H-H2O]+,Precursor Z,C10H14N5O8P,363.058,,,,,,,C18239,,,,,,
MSI03243,346.2774,346.2746,8,[M+H]+,Eicosapentaenoyl Ethanolamide,C22H35NO2,345.266779359,109001-03-8,,CHEBI:71467,,,HMDB0013649,,,,LMFA08040008,,5283450,
MSI03247,346.8202,346.8200,0,[M+H-2H2O]+,Bis(p-chlorophenyl) diselenide,C12H8Cl2Se2,381.83335,20541-49-5,,,,,,,,,,,88583,
MSI03248,346.8822,346.8866,13,[M+Na]+,Lead chromate,PbCrO4,323.89682,7758-97-6; 11119-70-3; 15804-54-3,,CHEBI:86257,,,,,,,,,24460,Lead chromate
MSI03249,347.0618,347.0630,4,[M]+,AMP,C10H14N5O7P,347.0631,,,,,,,C00020,,,,,,
MSI03250,347.3683,347.3678,2,[M+H]+,"3Z,6Z,9Z-Pentacosatriene",C25H46,346.359951467,,,CHEBI:165739,,,,,,,LMFA11000168,,56936132,
MSI03252,348.2867,348.2876,3,[M]+,"Hexadecanoic acid, ester with 1,2,3-propanetriol",C19H40O5,348.28757437,11140-06-0,,CHEBI:178475,,,,,,,,,19596767,
MSI03253,348.3365,348.3355,3,[M+Na]+,Dihydromotuporamine C,C20H43N3,325.345698384,,,CHEBI:82642,,,,,,,,,9901837,
MSI03255,348.8884,348.8874,3,[M+Na]+,"3,4-Dibromo-5-(ethoxymethyl)benzene-1,2-diol",C9H10Br2O3,325.89762,54502-93-1,,,,,,,,,,,42645057,
MSI03256,349.2546,349.2552,2,[M+K]+,(4E)-7-(4-hydroxy-3-methoxyphenyl)-1-phenylhept-4-en-3-one,C20H22O3,310.15689456,79559-60-7,,CHEBI:66034,,,HMDB0138247,,,,,,5318278,
MSI03258,350.3433,350.3428,1,[M]+,"azanium;N,N-dimethyloctadecan-1-amine;chloride",C20H47ClN2,350.3427772,,,,,,,,,,,,162322386,
MSI03261,351.0530,351.0528,1,[M+Na]+,Cabbage identification factor 2,C15H12N4O3S,328.06301143,,,,,,HMDB0033622,,,,,,131751464,
MSI03262,351.3144,351.3137,2,[M]+,"N-cis-11,14-eicosadienoyl ethanolamine",C22H41NO2,351.313729551,,,CHEBI:73733,,,,,,,LMFA08040002,,5283444,
MSI03265,352.0768,352.0756,3,[M]+,3-[(4-Anilinophenyl)diazenyl]benzene-1-sulfonate,C18H14N3O3S-,352.07558749,65113-53-3,,CHEBI:87238,,,,,,,,,4138313,
MSI03266,352.1153,352.1180,9,[M+H-H2O]+,6-Hydroxyprotopine,C20H19NO6,369.1212,,,,,,,C05190,,,,,,
MSI03267,352.3557,352.3600,12,[M+K]+,N-Palmitoylglycine,C18H35NO3,313.26169398,2441-41-0; 158305-64-7,,CHEBI:39540,,DB03440,HMDB0013034,,,,LMFA08020079,,151008,
MSI03268,352.9015,352.9059,12,[M]+,CID 14690798,C10H10BrNTe,352.90588,,,,,,,,,,,,14690798,
MSI03269,352.9468,352.9454,4,[M]+,2-[(3-Bromobenzoyl)amino]-4-chlorobenzoic acid,C14H9BrClNO3,352.94543,827325-60-0,,,,,,,,,,,4323128,
MSI03270,353.0042,353.0020,6,[M+Na]+,PQQ,C14H6N2O8,330.0124,,,,,,,C00113,,,,,,
MSI03274,353.8550,353.8520,8,[M]+,1-Hydroxychlordene,C10H6Cl6O,353.852031,2597-11-7,,CHEBI:34091,,,,,,,,,25552,
MSI03276,354.9407,354.9380,6,[M+H-2H2O]+,5-Phospho-alpha-D-ribose 1-diphosphate,C5H13O14P3,389.9518,,,,,,,C00119,,,,,,
MSI03277,355.0337,355.0360,7,[M+K]+,"1,1-Dichloro-2,2-bis(4-chlorophenyl)ethylene",C14H8Cl4,315.938,,,,,,,C04596,,,,,,
MSI03278,355.0691,355.0660,10,[M+H]+,5-Amino-6-(5'-phosphoribosylamino)uracil,C9H15N4O9P,354.0577,,,,,,,C01268,,,,,,
MSI03279,356.0256,356.0257,0,[M+H]+,"[2-(3,4-Dichloroanilino)-2-oxoethyl] 2-(3-fluorophenyl)acetate",C16H12Cl2FNO3,355.0178268,,,,,,,,,,,,8590430,
MSI03280,356.1760,356.1763,1,[M+H]+,6-(3-methoxyphenyl)-N-[(3-methylphenyl)methyl]-4-quinazolinamine,C23H21N3O,355.168462302,,,CHEBI:93353,,,,,,,,,44142045,
MSI03281,356.2812,356.2800,3,[M+NH4]+,"11,12-DHET",C20H34O4,338.2457,,,,,,,C14774,,,,,,
MSI03282,356.3567,356.3529,11,[M+H]+,N-(2-hydroxyethyl)icosanamide,C22H45NO2,355.345029678,94421-69-9,,CHEBI:85253,,,,,,,LMFA08040038,,3787294,
MSI03283,356.3962,356.3910,14,[M+K]+,Phytosphingosine,C18H39NO3,317.293,,,,,,,C12144,,,,,,
MSI03286,357.2974,357.3005,9,[M+H]+,Stearoyllactic acid,C21H40O4,356.29265975,4253-64-9,,CHEBI:169845,,,HMDB0033372,,,,LMFA07011021,,86677,
MSI03287,357.3854,357.3831,6,[M]+,"3,8,13,18,23-Pentaazapentacosane",C20H47N5,357.38314652,147510-59-6,,,,,,,,,,,368998,
MSI03289,358.0251,358.0239,3,[M]+,Magnesium Disodium EDTA,C10H12MgN2Na2O8,358.0239456,14402-88-1,,,,,,,,,,,161064,
MSI03290,358.0643,358.0690,13,[M]+,Versiconal,C18H14O8,358.0689,,,,,,,C20507,,,,,,
MSI03291,359.4219,359.4174,12,[M+K]+,3-(Octadec-9-enylamino)propanenitrile,C21H40N2,320.319149284,,,,,,,,,,,,117781,
MSI03296,360.8528,360.8493,10,[M+H]+,"2,2',4,4',6,6'-Hexachlorobiphenyl",C12H4Cl6,359.841466,33979-03-2,,CHEBI:34203,,,,,,,,,36647,
MSI03297,361.0924,361.0900,7,[M+Na]+,p-Coumaroyl quinic acid,C16H18O8,338.1002,,,,,,,C12208,,,,,,
MSI03299,361.8857,361.8858,0,[M+H-H2O]+,CID 12889037,C7H7Cl3F3NO3S2,378.888503,,,,,,,,,,,,12889037,
MSI03300,361.9745,361.9725,6,[M]+,"N-(4-bromophenyl)-2-(3-oxo-1,2-benzothiazol-2-yl)acetamide",C15H11BrN2O2S,361.97246,,,CHEBI:92267,,,,,,,,,44602376,
MSI03301,361.9911,361.9902,2,[M]+,"N'-[(1,3-benzodioxol-5-ylcarbonyl)oxy]-4-bromobenzenecarboximidamide",C15H11BrN2O4,361.99022,,,CHEBI:105135,,,,,,,,,9587485,
MSI03302,362.1452,362.1500,14,[M+K]+,3'-CMP,C9H14N3O8P,323.0519,,,,,,,C05822,,,,,,
MSI03304,363.2397,363.2396,0,[M+H]+,N-(tert-butylcarbamoyl)-2-[4-(2-phenoxyethyl)piperazin-1-yl]acetamide,C19H30N4O3,362.23179083,,,,,,,,,,,,9259413,
MSI03306,364.1633,364.1620,3,[M+H-H2O]+,O-beta-D-Glucosylzeatin,C16H23N5O6,381.1648,,,,,,,C03423,,,,,,
MSI03307,364.3711,364.3705,2,[M]+,"(2Z,6E)-3,7,11,15,19-Pentamethyl-2,6-eicosadien-1-ol",C25H48O,364.37051615,26549-03-1,,CHEBI:180801,,,HMDB0035154,,,,,,57418214,
MSI03308,364.9348,364.9333,4,[M]+,"N-(4-bromo-3-fluorophenyl)-2,6-difluorobenzenesulfonamide",C12H7BrF3NO2S,364.9333,,,,,,,,,,,,3808957,
MSI03309,365.2082,365.2040,13,[M-H2O+NH4]+,2'-N-Acetylparomamine,C14H27N3O8,365.1798,,,,,,,C17582,,,,,,
MSI03310,365.3717,365.3711,2,[M+K]+,20-HETE-d6,C20H32O3,326.27280535,,,CHEBI:180941,,,,,,,LMFA03060082,,16061123,
MSI03313,367.0039,367.0100,16,[M+H-2H2O]+,dTDP,C10H16N2O11P2,402.0229,,,,,,,C00363,,,,,,
MSI03314,367.0405,367.0394,3,[M]+,CID 7048572,C15H14ClN3O4S,367.0393548,53994-73-3,,,,,HMDB0014971,,,,,,7048572,
MSI03315,367.2551,367.2480,18,[M+H-2H2O]+,Erythronolide B,C21H38O7,402.2618,,,,,,,C06635,,,,,,
MSI03316,367.3544,367.3576,9,[M+H]+,Tetracosenoic acid,C24H46O2,366.349780706,33228-63-6; 26444-06-4,,,,,HMDB0029799,,,,LMFA01030920,,6440260,
MSI03318,367.8731,367.8681,14,[M+NH4]+,"2-(2-Bromo-2-chloroethyl)sulfonyl-1,4-dichlorobenzene",C8H6BrCl3O2S,349.83375,,,,,,,,,,,,20337579,
MSI03320,368.9739,368.9739,0,[M+H]+,"2,6-Anthracenedisulfonic acid, 9,10-dihydro-9,10-dioxo-",C14H8O8S2,367.96605956,84-50-4,,CHEBI:85115,,,,,,,,,66534,
MSI03321,369.0639,369.0642,1,[M]+,CID 27824664,C19H14ClN2O4-,369.0642096,,,,,,,,,,,,27824664,
MSI03322,369.1135,369.1120,4,[M+H]+,Indolylmethyl-desulfoglucosinolate,C16H20N2O6S,368.1042,,,,,,,C16517,,,,,,
MSI03323,369.3892,369.3906,4,[M+K]+,3-(10-Heptadecenyl)phenol,C23H38O,330.292265831,111047-33-7,,CHEBI:168324,,,HMDB0038525,,,,,,44575468,
MSI03324,369.4054,369.4096,11,[M+H]+,1-Pentacosanol,C25H52O,368.401816278,26040-98-2,,CHEBI:78427,,,,,,,,,92247,
MSI03325,369.4258,369.4249,2,[M+H-2H2O]+,"9Z,19Z-Nonacosadiene",C29H56,404.438201786,,,,,,,,,,LMFA11000154,,56936125,
MSI03327,369.9200,369.9178,6,[M]+,4-bromo-2-chloro-N-(3-cyanophenyl)benzene-1-sulfonamide,C13H8BrClN2O2S,369.91784,852901-71-4,,,,,,,,,,,4787096,
MSI03328,370.0728,370.0747,5,[M]+,4-O-alpha-D-Galactopyranuronosyl-D-galacturonic acid,C12H18O13,370.07474062,28144-27-6; 5894-59-7,,CHEBI:177248,,,HMDB0039721,,,,,,4532283,
MSI03329,370.1577,370.1510,17,[M+H-2H2O]+,Roseoflavin,C18H23N5O6,405.1648,,,,,,,C21647,,,,,,
MSI03330,370.2197,370.2130,18,[M+NH4]+,Geissoschizine,C21H24N2O3,352.1787,,,,,,,C02151,,,,,,
MSI03331,370.3380,370.3348,9,[M]+,Hookerianamide K,C25H42N2,370.334799348,1041464-45-2,,CHEBI:66023,,,,,,,,,25016412,
MSI03333,370.7844,370.7893,13,[M+H-2H2O]+,"2,4-Dibromo-1-(4-bromophenoxy)benzene",C12H7Br3O,405.80265,41318-75-6,,CHEBI:138036,,,HMDB0037545,,,,,,12110098,
MSI03336,372.4187,372.4205,5,[M+NH4]+,1-Tetracosanol,C24H50O,354.386166214,506-51-4,,CHEBI:77413,,,,,,,LMFA05000222,,10472,1-Tetracosanol
MSI03338,372.8837,372.8809,8,[M+H]+,"3,4-Dimethoxyphenyltellurium trichloride",C8H9Cl3O2Te,371.873035,,,,,,,,,,,,12494339,
MSI03340,374.1729,374.1770,11,[M+K]+,S-Formylglutathione,C11H17N3O7S,335.0787,,,,,,,C01031,,,,,,
MSI03341,374.2425,374.2430,1,[M]+,CID 34985829,C19H30N6O2,374.24302422,,,,,,,,,,,,34985829,
MSI03342,374.9290,374.9314,6,[M]+,CID 18629816,C14H7Cl4N3O,374.931373,,,,,,,,,,,,18629816,
